lgcode,pref,city,domain,spf,spf_policy,dmarc,dmarc_policy,mx,mx_spf,mx_spf_policy,mx_dmarc,mx_dmarc_policy
011002,北海道,札幌市,city.sapporo.jp,True,relax,False,,relay.city.sapporo.jp,False,,False,
012025,北海道,函館市,city.hakodate.hokkaido.jp,True,relax,False,,relay.city.hakodate.hokkaido.jp,False,,False,
012033,北海道,小樽市,city.otaru.lg.jp,True,relax,False,,city-otaru-lg-jp.mail.protection.outlook.com,False,,False,
012033,北海道,小樽市,city.otaru.lg.jp,True,relax,False,,relay.city.otaru.lg.jp,False,,False,
012041,北海道,旭川市,city.asahikawa.hokkaido.jp,True,relax,False,,relay.city.asahikawa.hokkaido.jp,False,,False,
012050,北海道,室蘭市,city.muroran.lg.jp,True,strict,False,,mail.union.nishi-iburi.lg.jp,False,,False,
012068,北海道,釧路市,city.kushiro.lg.jp,True,relax,False,,relay.city.kushiro.lg.jp,False,,False,
012076,北海道,帯広市,city.obihiro.hokkaido.jp,True,relax,False,,mail.city.obihiro.hokkaido.jp,False,,False,
012084,北海道,北見市,city.kitami.lg.jp,True,strict,False,,mail01.city.kitami.lg.jp,False,,False,
012092,北海道,夕張市,city.yubari.lg.jp,True,relax,False,,relay.city.yubari.lg.jp,False,,False,
012106,北海道,岩見沢市,city.iwamizawa.hokkaido.jp,False,,False,,mail2.city.iwamizawa.hokkaido.jp,False,,False,
012106,北海道,岩見沢市,city.iwamizawa.hokkaido.jp,False,,False,,mail1.city.iwamizawa.hokkaido.jp,False,,False,
012114,北海道,網走市,city.abashiri.hokkaido.jp,True,relax,False,,mail.city.abashiri.hokkaido.jp,False,,False,
012122,北海道,留萌市,e-rumoi.jp,True,strict,False,,mail.e-rumoi.jp,False,,False,
012131,北海道,苫小牧市,city.tomakomai.hokkaido.jp,True,strict,False,,swan.city.tomakomai.hokkaido.jp,False,,False,
012149,北海道,稚内市,city.wakkanai.hokkaido.jp,True,relax,False,,,,,,
012157,北海道,美唄市,city.bibai.hokkaido.jp,True,strict,False,,mail.city.bibai.hokkaido.jp,False,,False,
012165,北海道,芦別市,city.ashibetsu.hokkaido.jp,True,relax,False,,mail.city.ashibetsu.hokkaido.jp,False,,False,
012173,北海道,江別市,city.ebetsu.hokkaido.jp,True,strict,False,,ns1.city.ebetsu.hokkaido.jp,False,,False,
012181,北海道,赤平市,city.akabira.hokkaido.jp,True,relax,False,,ns.city.akabira.hokkaido.jp,False,,False,
012190,北海道,紋別市,mombetsu.jp,False,,False,,mail.mombetsu.jp,False,,False,
012203,北海道,士別市,city.shibetsu.lg.jp,True,relax,False,,sb-gateway.city.shibetsu.lg.jp,False,,False,
012211,北海道,名寄市,city.nayoro.lg.jp,False,,False,,nymdsv30.city.nayoro.lg.jp,False,,False,
012220,北海道,三笠市,city.mikasa.hokkaido.jp,False,,False,,relay.city.mikasa.hokkaido.jp,False,,False,
012238,北海道,根室市,city.nemuro.hokkaido.jp,True,relax,False,,mail.city.nemuro.hokkaido.jp,False,,False,
012246,北海道,千歳市,city.chitose.lg.jp,True,strict,False,,mail.city.chitose.lg.jp,False,,False,
012254,北海道,滝川市,city.takikawa.hokkaido.jp,True,relax,False,,relay.city.takikawa.hokkaido.jp,False,,False,
012262,北海道,砂川市,city.sunagawa.hokkaido.jp,False,,False,,relay.city.sunagawa.hokkaido.jp,False,,False,
012271,北海道,歌志内市,city.utashinai.hokkaido.jp,False,,False,,city.utashinai.hokkaido.jp,False,,False,
012289,北海道,深川市,city.fukagawa.lg.jp,True,strict,False,,ns.city.fukagawa.lg.jp,False,,False,
012297,北海道,富良野市,city.furano.hokkaido.jp,False,,False,,mail.city.furano.hokkaido.jp,False,,False,
012301,北海道,登別市,city.noboribetsu.lg.jp,True,strict,False,,mail.union.nishi-iburi.lg.jp,False,,False,
012319,北海道,恵庭市,city.eniwa.hokkaido.jp,True,relax,False,,mail.city.eniwa.hokkaido.jp,False,,False,
012335,北海道,伊達市,city.date.hokkaido.jp,True,strict,False,,mail.union.nishi-iburi.lg.jp,False,,False,
012343,北海道,北広島市,city.kitahiroshima.hokkaido.jp,True,relax,False,,cdmail01.city.kitahiroshima.hokkaido.jp,False,,False,
012351,北海道,石狩市,city.ishikari.hokkaido.jp,True,relax,False,,mail.city.ishikari.hokkaido.jp,False,,False,
012360,北海道,北斗市,city.hokuto.hokkaido.jp,True,relax,False,,mailsv.city.hokuto.hokkaido.jp,False,,False,
013030,北海道,当別町,town.tobetsu.hokkaido.jp,True,relax,False,,relay.town.tobetsu.hokkaido.jp,False,,False,
013048,北海道,新篠津村,vill.shinshinotsu.hokkaido.jp,True,relax,False,,relay.vill.shinshinotsu.hokkaido.jp,False,,False,
013315,北海道,松前町,town.matsumae.hokkaido.jp,True,relax,False,,relay.town.matsumae.hokkaido.jp,False,,False,
013323,北海道,福島町,town.fukushima.hokkaido.jp,False,,False,,ns.town.fukushima.hokkaido.jp,False,,False,
013331,北海道,知内町,town.shiriuchi.hokkaido.jp,True,strict,False,,town.shiriuchi.hokkaido.jp,True,strict,False,
013340,北海道,木古内町,town.kikonai.hokkaido.jp,False,,False,,mail.town.kikonai.hokkaido.jp,False,,False,
013374,北海道,七飯町,town.nanae.hokkaido.jp,True,relax,False,,smtp.town.nanae.hokkaido.jp,False,,False,
013439,北海道,鹿部町,town.shikabe.lg.jp,True,relax,False,,relay.town.shikabe.lg.jp,False,,False,
013455,北海道,森町,town.hokkaido-mori.lg.jp,True,strict,False,,town-hokkaidomori-lg-jp03c.mail.protection.outlook.com,False,,False,
013455,北海道,森町,town.hokkaido-mori.lg.jp,True,strict,False,,mail.town.hokkaido-mori.lg.jp,False,,False,
013463,北海道,八雲町,town.yakumo.lg.jp,True,relax,False,,relay.town.yakumo.lg.jp,False,,False,
013471,北海道,長万部町,town.oshamambe.lg.jp,True,relax,False,,mail2.town.oshamambe.lg.jp,False,,False,
013617,北海道,江差町,hokkaido-esashi.jp,True,relax,False,,wmail.hokkaido-esashi.jp,False,,False,
013625,北海道,上ノ国町,town.kaminokuni.lg.jp,False,,False,,relay.town.kaminokuni.lg.jp,False,,False,
013633,北海道,厚沢部町,town.assabu.lg.jp,True,relax,False,,relay.town.assabu.lg.jp,False,,False,
013641,北海道,乙部町,town.otobe.lg.jp,True,relax,False,,imsva.town.otobe.lg.jp,False,,False,
013676,北海道,奥尻町,town.okushiri.lg.jp,False,,False,,ns.town.okushiri.lg.jp,False,,False,
013706,北海道,今金町,town.imakane.lg.jp,True,relax,False,,mail.town.imakane.lg.jp,False,,False,
013714,北海道,せたな町,town.setana.lg.jp,False,,False,,ns.town.setana.lg.jp,False,,False,
